obstacle_name,obstacle_order,location
Warped Wall,6,Sasuke 27 (Japan)
Warped Wall,6,Kansas City
Hang Climb,6,Las Vegas
Warped Wall,6,Las Vegas
Warped Wall,6,St. Louis
Warped Wall / Mega Wall,6,Indianapolis
Warped Wall,6,Kansas City
Walking Bar,6,Las Vegas
Wall Lift,6,Sasuke 27 (Japan)
Warped Wall,6,Kansas City
Bungee Rope Climb,6,Sasuke 27 (Japan)
Warped Wall,6,Denver
Warped Wall,6,Denver
Warped Wall,6,Venice
Warped Wall,6,Pittsburgh
Warped Wall,6,Denver
Warped Wall,6,Southwest
Broken Bridge,7,Las Vegas
Salmon Ladder,7,Denver
Salmon Ladder,7,Daytona Beach
Salmon Ladder,7,Venice
Salmon Ladder,7,Philadelphia
Slider Jump,7,Sasuke 23 (Japan)
Salmon Ladder,7,Venice
Spinning Bridge,7,Las Vegas
Salmon Ladder,7,Kansas City
Spider Flip,7,Las Vegas
Time Bomb,7,Las Vegas
Spinning Bridge,7,Las Vegas
Salmon Ladder,7,Cleveland
Spider Flip,7,Las Vegas
Salmon Ladder,7,Oklahoma City
Salmon Ladder,7,Denver
Salmon Ladder,7,Denver
Salmon Ladder,7,Pittsburgh
Salmon Ladder,7,Indianapolis
Salmon Ladder,7,Miami
Razor Beams,7,Las Vegas
Salmon Ladder,7,Houston
Domino Pipes,7,Las Vegas
Salmon Ladder,7,Baltimore
Time Bomb,7,Las Vegas
Salmon Ladder,7,Orlando
Salmon Ladder,7,Atlanta
Bar Glider,7,Sasuke 27 (Japan)
Salmon Ladder,7,Los Angeles
Spinning Bridge,7,Sasuke 27 (Japan)
Salmon Ladder,7,Los Angeles
Salmon Ladder,7,Kansas City
Salmon Ladder,7,Dallas
Salmon Ladder,7,Venice
Area 51,7,Las Vegas
Flying Bar,7,Sasuke 26 (Japan)
Salmon Ladder,7,Miami
Tarzan Swing,7,Venice
Coin Flip,7,Las Vegas
Salmon Ladder,7,Venice
Spider Flip,7,Sasuke 23 (Japan)
Salmon Ladder,7,St. Louis
Salmon Ladder,7,Indianapolis
Salmon Ladder,7,Miami
Salmon Ladder,7,San Pedro (Military)
Salmon Ladder,7,Dallas
Salmon Ladder,7,Philadelphia
Salmon Ladder,7,Southwest
Giant Swing,7,Sasuke 26 (Japan)
Salmon Ladder,7,Midwest
Salmon Ladder,7,Los Angeles
Warped Wall,7,Northeast
Salmon Ladder,7,Minneapolis
Warped Wall,7,Northeast
Salmon Ladder,7,San Antonio
Salmon Ladder,7,Northwest
Salmon Ladder,7,Mid-South
Warped Wall,7,Southeast
Warped Wall,7,Southeast
